Gender;age;Marital;Education;Religion;Occupation;Affordability;Eligibility;Working;NonWorking;Member;Ratio;MoreIncome;Worthy;Compliance;IDRIncome;USDIncome;Transportation;Comfort;TravelTime;BetterLife;Interaction;Parenting;SelfCare;Famil;Wellbeing;Stress;CommuteTime;Satisfaction
1;22;2;3;1;2;4;4;1;0;1;100;4;4;4;2800000;20000;4;4;4;4;4;3;4;3;3;2;3;Sangat Tidak Puas
2;35;1;5;1;4;5;5;2;3;5;250;4;3;4;7000000;50000;4;4;3;3;3;2;2;2;4;3;4;Biasa
1;36;1;5;1;4;5;5;2;3;5;250;4;3;4;7000000;50000;4;4;3;3;3;2;2;2;4;3;4;Biasa
1;40;1;2;1;3;4;4;1;4;5;500;3;3;4;3000000;21429;3;3;3;3;3;3;3;4;3;3;3;Biasa
1;38;1;5;1;4;4;4;1;3;4;400;4;4;4;3500000;25000;4;4;4;3;3;3;3;3;4;3;3;Biasa
1;35;1;5;1;3;4;4;1;2;3;300;3;3;3;2000000;14286;4;3;3;3;4;4;3;3;3;3;3;Biasa
2;27;1;3;1;5;4;5;2;2;4;200;5;5;4;2500000;17857;4;4;4;4;5;4;4;5;4;4;4;Sangat Tidak Puas
1;50;1;1;1;5;3;4;1;3;4;400;3;3;2;3500000;25000;3;3;3;3;3;3;3;3;3;4;4;Biasa
1;28;1;3;1;4;4;4;1;2;3;300;3;3;3;3000000;21429;3;3;3;3;3;3;3;3;4;3;3;Biasa
1;31;1;2;1;5;3;3;2;0;2;100;3;3;2;1700000;12143;3;2;3;3;3;3;3;3;4;4;3;Biasa
1;45;1;3;1;3;3;3;1;4;5;500;3;3;4;3000000;21429;3;3;3;3;3;3;3;3;3;4;4;Biasa
1;45;1;3;1;3;4;4;2;2;4;200;3;4;4;4000000;28571;4;4;4;3;2;2;2;2;2;3;4;Biasa
1;27;1;3;1;5;5;4;1;2;3;300;5;4;3;2300000;16429;5;4;5;4;4;5;5;4;4;4;4;Sangat Tidak Puas
2;34;1;3;1;5;4;3;2;2;4;200;4;3;3;2000000;14286;4;3;2;3;4;2;2;3;4;4;2;Biasa
2;40;1;3;2;4;2;3;2;3;5;250;3;3;4;4000000;28571;3;4;4;4;3;1;3;1;3;3;3;Sangat Tidak Puas
1;27;1;4;1;3;4;4;2;0;2;100;4;4;4;2500000;17857;4;4;4;4;3;3;3;3;3;2;4;Sangat Tidak Puas
2;29;1;4;1;3;5;4;2;2;4;200;5;4;4;2200000;15714;5;4;5;4;5;4;5;4;4;4;4;Sangat Tidak Puas
1;39;1;3;1;3;4;4;2;2;4;200;3;4;4;3000000;21429;4;5;4;4;3;2;3;2;3;2;3;Sangat Tidak Puas
1;27;1;5;1;3;4;5;1;1;2;200;4;3;4;2000000;14286;4;4;3;4;4;4;4;5;4;5;4;Sangat Tidak Puas
2;22;2;3;1;3;4;5;1;0;1;100;3;4;4;2500000;17857;4;4;3;4;2;3;3;3;2;3;2;Sangat Tidak Puas
2;31;2;5;2;3;5;4;1;0;1;100;4;4;5;5000000;35714;4;4;5;4;4;3;4;3;5;3;4;Sangat Tidak Puas
2;23;2;3;1;3;4;4;1;0;1;100;4;4;4;2000000;14286;4;4;4;4;4;4;4;3;3;2;3;Sangat Tidak Puas
1;50;1;4;1;1;4;3;1;4;5;500;4;4;4;4000000;28571;3;3;3;3;3;3;3;3;4;3;3;Biasa
1;47;1;3;2;4;2;4;2;3;5;250;3;3;4;4000000;28571;3;4;4;4;3;1;3;1;3;3;3;Sangat Tidak Puas
2;28;1;4;1;3;4;5;2;1;3;150;4;4;2;2000000;14286;4;3;4;4;3;4;4;4;4;4;3;Sangat Tidak Puas
1;24;2;3;1;5;3;3;3;3;6;200;3;4;4;1800000;12857;4;4;5;3;4;4;3;4;4;4;3;Biasa
1;45;1;2;1;5;4;4;3;3;6;200;3;4;4;1600000;11429;4;4;5;3;3;4;4;3;4;5;4;Biasa
1;29;1;3;1;5;4;4;2;3;5;250;3;3;4;1800000;12857;4;4;5;3;4;4;3;4;4;3;4;Biasa
1;23;2;3;1;5;4;4;2;3;5;250;3;4;4;1500000;10714;4;4;4;3;4;4;3;3;4;4;3;Biasa
1;32;1;2;1;5;4;4;1;2;3;300;3;3;4;1800000;12857;5;5;4;3;4;4;3;4;4;3;4;Biasa
1;24;2;3;1;5;3;3;2;2;4;200;3;4;4;1500000;10714;4;4;5;3;3;4;4;3;3;3;4;Biasa
1;25;2;3;1;5;3;3;3;1;4;133;3;4;4;1500000;10714;4;4;4;3;3;4;3;3;4;3;4;Biasa
1;30;2;3;1;5;4;4;2;2;4;200;3;3;4;1500000;10714;4;4;3;3;3;4;4;5;4;3;3;Biasa
